model,batchsize,activations,parameters,input,peak mem usage,Pipelines/CUDA cores,Memory bandwidth (GB/s),Memory clock speed (MHz),Tensor cores,SM count
resnet18,8,227.25,44.59,4.59,824,2496,240.6,5012,0,13
resnet18,16,454.5,44.59,9.19,1020,2496,240.6,5012,0,13
resnet18,32,909.25,44.59,18.38,1548,2496,240.6,5012,0,13
resnet18,64,1818.56,44.59,36.75,2420,2496,240.6,5012,0,13
resnet18,8,227.25,44.59,4.59,1660,2560,448,14000,320,40
resnet18,16,454.5,44.59,9.19,1796,2560,448,14000,320,40
resnet18,32,909.25,44.59,18.38,1988,2560,448,14000,320,40
resnet18,64,1818.56,44.59,36.75,2652,2560,448,14000,320,40
resnet18,8,227.25,44.59,4.59,1591,5888,512,16000,184,46
resnet18,16,454.5,44.59,9.19,1945,5888,512,16000,184,46
resnet18,32,909.25,44.59,18.38,2365,5888,512,16000,184,46
resnet18,64,1818.56,44.59,36.75,3403,5888,512,16000,184,46
resnet18,8,227.25,44.59,4.59,1679,5120,900,1752,640,80
resnet18,16,454.5,44.59,9.19,1907,5120,900,1752,640,80
resnet18,32,909.25,44.59,18.38,2211,5120,900,1752,640,80
resnet18,64,1818.56,44.59,36.75,3113,5120,900,1752,640,80
resnet18,8,227.25,44.59,4.59,1719,10496,935.8,19495,328,82
resnet18,16,454.5,44.59,9.19,2073,10496,935.8,19495,328,82
resnet18,32,909.25,44.59,18.38,2493,10496,935.8,19495,328,82
resnet18,64,1818.56,44.59,36.75,3531,10496,935.8,19495,328,82
resnet34,8,361.155,83.15,4.59,1054,2496,240.6,5012,0,13
resnet34,16,722.31,83.15,9.19,1286,2496,240.6,5012,0,13
resnet34,32,1444.62,83.15,18.38,1878,2496,240.6,5012,0,13
resnet34,64,2889.24,83.15,36.75,3300,2496,240.6,5012,0,13
resnet34,8,361.155,83.15,4.59,1822,2560,448,14000,320,40
resnet34,16,722.31,83.15,9.19,1886,2560,448,14000,320,40
resnet34,32,1444.62,83.15,18.38,2402,2560,448,14000,320,40
resnet34,64,2889.24,83.15,36.75,3500,2560,448,14000,320,40
resnet34,8,361.155,83.15,4.59,1793,5888,512,16000,184,46
resnet34,16,722.31,83.15,9.19,2165,5888,512,16000,184,46
resnet34,32,1444.62,83.15,18.38,2779,5888,512,16000,184,46
resnet34,64,2889.24,83.15,36.75,4033,5888,512,16000,184,46
resnet34,8,361.155,83.15,4.59,1871,5120,900,1752,640,80
resnet34,16,722.31,83.15,9.19,2127,5120,900,1752,640,80
resnet34,32,1444.62,83.15,18.38,2625,5120,900,1752,640,80
resnet34,64,2889.24,83.15,36.75,3847,5120,900,1752,640,80
resnet34,8,361.155,83.15,4.59,1912,10496,935.8,19495,328,82
resnet34,16,722.31,83.15,9.19,2239,10496,935.8,19495,328,82
resnet34,32,1444.62,83.15,18.38,2907,10496,935.8,19495,328,82
